original_title,year,genre,duration,country,language,imdb_score,worldwide_gross_income,tomatometer_rating,imdb_scaled
The Sound of Music,1965,"Biography, Drama, Family",172,USA,"English, German",8.0,159.413574,83.0,80.0
Thunderball,1965,"Action, Adventure, Thriller",130,UK,"English, French",7.0,63.595658,86.0,70.0
Django,1966,"Action, Western",91,"Italy, Spain",Italian,7.2,0.025916,92.0,72.0
Fahrenheit 451,1966,"Drama, Sci-Fi",112,UK,English,7.2,0.000509,81.0,72.0
Persona,1966,"Drama, Thriller",85,Sweden,"Swedish, English",8.1,0.025407,90.0,81.0
Who's Afraid of Virginia Woolf?,1966,Drama,131,USA,"English, Latin, Spanish",8.0,28.005068,95.0,80.0
Casino Royale,1967,Comedy,131,"UK, USA","English, French, Scottish Gaelic, German, Japanese",5.2,0.002324,25.0,52.0
The Graduate,1967,"Comedy, Drama, Romance",106,USA,English,8.0,105.015008,87.0,80.0
Guess Who's Coming to Dinner,1967,"Comedy, Drama",108,USA,English,7.8,56.666667,70.0,78.0
In the Heat of the Night,1967,"Crime, Drama, Mystery",110,USA,English,7.9,0.027669,95.0,79.0
The Jungle Book,1967,"Animation, Adventure, Family",78,USA,English,7.6,210.310084,88.0,76.0
Reflections in a Golden Eye,1967,"Drama, Romance, Thriller",108,USA,English,6.8,0.065232,55.0,68.0
Two for the Road,1967,"Comedy, Drama, Romance",111,UK,"English, French, Italian",7.5,0.01738,81.0,75.0
You Only Live Twice,1967,"Action, Adventure, Thriller",117,UK,"English, Japanese, Russian",6.9,43.084787,73.0,69.0
2001: A Space Odyssey,1968,"Adventure, Sci-Fi",149,"UK, USA","English, Russian",8.3,68.989547,92.0,83.0
Blackbeard's Ghost,1968,"Comedy, Family, Fantasy",106,USA,English,6.9,21.54005,82.0,69.0
The Boston Strangler,1968,"Crime, Drama, Mystery",116,USA,English,7.1,0.009439,86.0,71.0
Bullitt,1968,"Action, Crime, Thriller",114,USA,English,7.4,0.51135,97.0,74.0
Chitty Chitty Bang Bang,1968,"Adventure, Family, Fantasy",144,"UK, USA","English, German, French, Latin",6.9,0.000398,67.0,69.0
Coogan's Bluff,1968,"Action, Comedy, Crime",93,USA,English,6.5,3.11,94.0,65.0
Funny Girl,1968,"Biography, Comedy, Drama",151,USA,English,7.4,52.224263,93.0,74.0
The Lion in Winter,1968,"Biography, Drama, History",134,"UK, USA",English,7.9,0.018177,90.0,79.0
Night of the Living Dead,1968,"Horror, Thriller",96,USA,English,7.9,0.236452,97.0,79.0
The Odd Couple,1968,Comedy,105,USA,English,7.7,44.527234,97.0,77.0
The Party,1968,Comedy,99,USA,"English, Italian, Russian, French, Chinese",7.5,0.010631,82.0,75.0
Planet of the Apes,1968,"Adventure, Sci-Fi",112,USA,English,8.0,32.599045,87.0,80.0
Romeo and Juliet,1968,"Drama, Romance",138,"UK, Italy","English, French",7.6,0.006292,95.0,76.0
